t,u1,u2
1.6100e+01,1.3674e+01,1.2281e+01
1.6150e+01,1.3762e+01,1.2374e+01
1.6200e+01,1.3948e+01,1.2297e+01
1.6250e+01,1.4110e+01,1.2133e+01
1.6300e+01,1.4181e+01,1.2056e+01
1.6350e+01,1.4166e+01,1.2192e+01
1.6400e+01,1.4102e+01,1.2513e+01
1.6450e+01,1.4011e+01,1.2867e+01
1.6500e+01,1.3877e+01,1.3107e+01
1.6550e+01,1.3707e+01,1.3170e+01
1.6600e+01,1.3548e+01,1.3083e+01
1.6650e+01,1.3448e+01,1.2939e+01
1.6700e+01,1.3438e+01,1.2844e+01
1.6750e+01,1.3531e+01,1.2830e+01
1.6800e+01,1.3706e+01,1.2829e+01
1.6850e+01,1.3874e+01,1.2787e+01
1.6900e+01,1.3896e+01,1.2735e+01
1.6950e+01,1.3696e+01,1.2717e+01
1.7000e+01,1.3364e+01,1.2722e+01
1.7050e+01,1.3095e+01,1.2726e+01
1.7100e+01,1.3012e+01,1.2781e+01
1.7150e+01,1.3102e+01,1.2963e+01
1.7200e+01,1.3287e+01,1.3257e+01
1.7250e+01,1.3501e+01,1.3544e+01
1.7300e+01,1.3717e+01,1.3710e+01
1.7350e+01,1.3923e+01,1.3716e+01
1.7400e+01,1.4101e+01,1.3618e+01
1.7450e+01,1.4222e+01,1.3499e+01
1.7500e+01,1.4264e+01,1.3402e+01
1.7550e+01,1.4232e+01,1.3325e+01
1.7600e+01,1.4167e+01,1.3258e+01
1.7650e+01,1.4134e+01,1.3152e+01
1.7700e+01,1.4194e+01,1.2927e+01
1.7750e+01,1.4355e+01,1.2586e+01
1.7800e+01,1.4534e+01,1.2256e+01
1.7850e+01,1.4627e+01,1.2070e+01
1.7900e+01,1.4622e+01,1.2032e+01
1.7950e+01,1.4589e+01,1.2008e+01
1.8000e+01,1.4555e+01,1.1901e+01
1.8050e+01,1.4452e+01,1.1789e+01
1.8100e+01,1.4226e+01,1.1798e+01
1.8150e+01,1.3968e+01,1.1935e+01
1.8200e+01,1.3839e+01,1.2107e+01
1.8250e+01,1.3890e+01,1.2250e+01
1.8300e+01,1.4011e+01,1.2374e+01
1.8350e+01,1.4079e+01,1.2516e+01
1.8400e+01,1.4075e+01,1.2668e+01
1.8450e+01,1.4064e+01,1.2770e+01
1.8500e+01,1.4088e+01,1.2776e+01
1.8550e+01,1.4120e+01,1.2701e+01
1.8600e+01,1.4118e+01,1.2614e+01
1.8650e+01,1.4105e+01,1.2592e+01
1.8700e+01,1.4131e+01,1.2666e+01
1.8750e+01,1.4191e+01,1.2769e+01
1.8800e+01,1.4199e+01,1.2808e+01
1.8850e+01,1.4088e+01,1.2769e+01
1.8900e+01,1.3903e+01,1.2721e+01
1.8950e+01,1.3755e+01,1.2719e+01
1.9000e+01,1.3705e+01,1.2758e+01
1.9050e+01,1.3721e+01,1.2800e+01
1.9100e+01,1.3740e+01,1.2828e+01
1.9150e+01,1.3773e+01,1.2855e+01
1.9200e+01,1.3830e+01,1.2889e+01
1.9250e+01,1.3825e+01,1.2906e+01
1.9300e+01,1.3657e+01,1.2857e+01
1.9350e+01,1.3368e+01,1.2709e+01
1.9400e+01,1.3138e+01,1.2496e+01
1.9450e+01,1.3104e+01,1.2317e+01
1.9500e+01,1.3216e+01,1.2223e+01
1.9550e+01,1.3328e+01,1.2177e+01
1.9600e+01,1.3363e+01,1.2124e+01
1.9650e+01,1.3345e+01,1.2046e+01
1.9700e+01,1.3325e+01,1.1977e+01
1.9750e+01,1.3316e+01,1.1967e+01
1.9800e+01,1.3316e+01,1.2047e+01
1.9850e+01,1.3326e+01,1.2195e+01
1.9900e+01,1.3356e+01,1.2357e+01
1.9950e+01,1.3404e+01,1.2485e+01
2.0000e+01,1.3453e+01,1.2537e+01
2.0050e+01,1.3479e+01,1.2446e+01
2.0100e+01,1.3487e+01,1.2173e+01
2.0150e+01,1.3502e+01,1.1802e+01
2.0200e+01,1.3528e+01,1.1544e+01
2.0250e+01,1.3523e+01,1.1560e+01
2.0300e+01,1.3470e+01,1.1788e+01
2.0350e+01,1.3427e+01,1.2005e+01
2.0400e+01,1.3463e+01,1.2068e+01
2.0450e+01,1.3559e+01,1.2042e+01
2.0500e+01,1.3624e+01,1.2080e+01
2.0550e+01,1.3595e+01,1.2202e+01
2.0600e+01,1.3494e+01,1.2280e+01
2.0650e+01,1.3400e+01,1.2231e+01
2.0700e+01,1.3369e+01,1.2150e+01
2.0750e+01,1.3379e+01,1.2178e+01
2.0800e+01,1.3352e+01,1.2303e+01
