t,x1,y1,z1,x2,y2,z2
6.200000e+01,5.061129e-02,5.719443e-02,5.550777e-02,2.754853e-02,7.140558e-02,4.114022e-02
6.250000e+01,5.366301e-02,5.353233e-02,5.769095e-02,3.104230e-02,6.756464e-02,3.835715e-02
6.300000e+01,5.439469e-02,5.412763e-02,6.136216e-02,3.105103e-02,6.795833e-02,3.221104e-02
6.350000e+01,5.002964e-02,5.672097e-02,5.215970e-02,2.671396e-02,7.068261e-02,2.524911e-02
6.400000e+01,5.193623e-02,5.538397e-02,4.889274e-02,2.875814e-02,6.946250e-02,3.031501e-02
6.450000e+01,5.417338e-02,5.379928e-02,3.978098e-02,3.093686e-02,6.796443e-02,2.947237e-02
6.500000e+01,5.040991e-02,5.673513e-02,4.178171e-02,2.709573e-02,7.084185e-02,2.313720e-02
6.550000e+01,5.216908e-02,5.467748e-02,4.225822e-02,2.830769e-02,6.852450e-02,1.287904e-02
6.600000e+01,5.357649e-02,5.315053e-02,4.101801e-02,3.008852e-02,6.696268e-02,1.217711e-02
6.650000e+01,5.212547e-02,5.518943e-02,4.127046e-02,2.875314e-02,6.920360e-02,2.024370e-02
6.700000e+01,5.109469e-02,5.651229e-02,4.237244e-02,2.700359e-02,7.076808e-02,3.178454e-02
6.750000e+01,5.278201e-02,5.373355e-02,5.259453e-02,2.916829e-02,6.788547e-02,3.761241e-02
6.800000e+01,5.327671e-02,5.391873e-02,5.175996e-02,3.031739e-02,6.781614e-02,2.586272e-02
6.850000e+01,5.064487e-02,5.519072e-02,5.763696e-02,2.671641e-02,6.912040e-02,2.910854e-02
6.900000e+01,5.104788e-02,5.154532e-02,5.664328e-02,2.740350e-02,6.549974e-02,3.001094e-02
6.950000e+01,5.493379e-02,5.341847e-02,5.475206e-02,3.227708e-02,6.748767e-02,3.924408e-02
7.000000e+01,5.177000e-02,5.732636e-02,5.528640e-02,2.847724e-02,7.156368e-02,4.399702e-02
7.050000e+01,5.042491e-02,5.378442e-02,5.302644e-02,2.707539e-02,6.782687e-02,3.049359e-02
7.100000e+01,5.442067e-02,5.146663e-02,4.828240e-02,3.193543e-02,6.530957e-02,2.176069e-02
7.150000e+01,5.283934e-02,5.693070e-02,4.417699e-02,3.001333e-02,7.079041e-02,1.688050e-02
7.200000e+01,5.025018e-02,5.630512e-02,4.107146e-02,2.685345e-02,7.043196e-02,2.330539e-02
7.250000e+01,5.249647e-02,5.142135e-02,3.550787e-02,2.957872e-02,6.555666e-02,2.230235e-02
7.300000e+01,5.416674e-02,5.312101e-02,4.096385e-02,3.121791e-02,6.709330e-02,2.101754e-02
7.350000e+01,5.053123e-02,5.736554e-02,4.375578e-02,2.725892e-02,7.135306e-02,1.982877e-02
7.400000e+01,5.122493e-02,5.279351e-02,5.812040e-02,2.766293e-02,6.673983e-02,3.118168e-02
7.450000e+01,5.339499e-02,5.289088e-02,5.635088e-02,2.999590e-02,6.688601e-02,3.513934e-02
7.500000e+01,5.247438e-02,5.818902e-02,5.578084e-02,2.897796e-02,7.238446e-02,4.308550e-02
